# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-08-10T21:10:22Z · 263 entries
# Density: 115/266 of a random sample worked on re-check (43%, measured 2026-08-10) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://1.231.81.166:3128 | ?? | 1801ms | 1d
http://2.78.60.10:3129 | ?? | 2679ms | 1d
http://3.121.130.230:48716 | ?? | 3319ms | 1d
http://3.127.27.51:11726 | ?? | 3645ms | 1d
http://5.200.72.62:3128 | ?? | 2356ms | 1d
http://8.138.217.152:21001 | ?? | 2524ms | 1d
http://8.211.170.91:14680 | ?? | 2848ms | 1d
http://13.41.196.179:9002 | ?? | 3544ms | 1d
http://13.48.13.125:11726 | ?? | 4485ms | 1d
http://13.60.163.108:39409 | ?? | 2857ms | 1d
http://14.139.235.82:3128 | ?? | 2387ms | 1d
http://18.141.223.48:3129 | ?? | 1383ms | 1d
http://18.170.25.193:53656 | ?? | 7240ms | 1d
http://27.185.218.213:17981 | ?? | 2007ms | 1d
http://27.254.99.183:8118 | ?? | 2530ms | 1d
http://34.43.46.91:443 | ?? | 1948ms | 1d
http://34.43.46.91:80 | ?? | 1333ms | 1d
http://34.215.116.246:3128 | ?? | 1285ms | 1d
http://36.92.104.123:8000 | ?? | 4414ms | 1d
http://37.59.125.131:8888 | ?? | 1196ms | 1d
http://37.187.109.70:10111 | ?? | 3122ms | 1d
http://38.51.216.56:999 | ?? | 7571ms | 1d
http://38.75.82.221:999 | ?? | 5133ms | 1d
http://38.76.9.0:999 | ?? | 3019ms | 1d
http://38.194.250.174:999 | ?? | 4298ms | 1d
http://40.177.99.164:31822 | ?? | 6820ms | 1d
http://43.99.100.108:3128 | ?? | 1929ms | 1d
http://43.133.128.153:16012 | ?? | 7155ms | 1d
http://43.153.82.179:8888 | ?? | 5314ms | 1d
http://45.65.138.48:999 | ?? | 3873ms | 1d
http://45.144.53.63:5001 | ?? | 1421ms | 1d
http://45.153.4.154:3128 | ?? | 1413ms | 1d
http://45.155.226.177:3128 | ?? | 1398ms | 1d
http://45.174.108.143:999 | ?? | 4647ms | 1d
http://45.174.168.3:999 | ?? | 4209ms | 1d
http://47.76.220.47:33128 | ?? | 1546ms | 1d
http://47.81.56.193:8888 | ?? | 1713ms | 1d
http://47.84.84.1:3128 | ?? | 4896ms | 1d
http://49.144.19.84:8181 | ?? | 7153ms | 1d
http://51.16.42.227:33527 | ?? | 4854ms | 1d
http://51.16.42.227:38531 | ?? | 3830ms | 1d
http://51.44.97.6:2025 | ?? | 3147ms | 1d
http://56.68.116.64:47651 | ?? | 2755ms | 1d
http://58.186.168.155:2033 | ?? | 3649ms | 1d
http://58.186.168.155:2103 | ?? | 6964ms | 1d
http://63.179.134.206:56179 | ?? | 5410ms | 1d
http://64.112.184.210:3128 | ?? | 2948ms | 1d
http://67.220.95.36:8202 | ?? | 1157ms | 1d
http://74.208.117.247:3128 | ?? | 1409ms | 1d
http://78.109.34.192:8080 | ?? | 4624ms | 1d
http://79.137.192.65:30081 | ?? | 2571ms | 1d
http://82.102.11.164:3460 | ?? | 1165ms | 1d
http://85.208.200.185:8081 | ?? | 6949ms | 1d
http://86.53.163.185:10002 | ?? | 4363ms | 1d
http://87.251.77.29:3128 | ?? | 475ms | 1d
http://88.210.11.216:8989 | ?? | 3865ms | 1d
http://89.251.21.4:8080 | ?? | 6652ms | 1d
http://91.228.133.191:8888 | ?? | 1971ms | 1d
http://92.51.21.96:8081 | ?? | 5351ms | 1d
http://95.3.69.222:8080 | ?? | 2211ms | 1d
http://95.211.64.139:8888 | ?? | 1294ms | 1d
http://95.211.64.139:8889 | ?? | 728ms | 1d
http://95.211.174.135:3128 | ?? | 805ms | 1d
http://98.154.21.253:4228 | ?? | 3306ms | 1d
http://101.206.186.99:8080 | ?? | 7179ms | 1d
http://101.255.164.214:8090 | ?? | 7320ms | 1d
http://102.209.18.248:8080 | ?? | 5668ms | 1d
http://103.19.78.243:1080 | ?? | 4078ms | 1d
http://103.77.173.125:9486 | ?? | 1769ms | 1d
http://103.82.126.243:8080 | ?? | 3093ms | 1d
http://103.106.79.253:2233 | ?? | 3688ms | 1d
http://103.130.61.61:8081 | ?? | 1842ms | 1d
http://103.132.52.20:8080 | ?? | 3801ms | 1d
http://103.133.24.123:8080 | ?? | 4764ms | 1d
http://103.135.48.30:8089 | ?? | 4018ms | 1d
http://103.155.196.46:8080 | ?? | 4037ms | 1d
http://103.156.75.246:8181 | ?? | 4704ms | 1d
http://103.161.69.252:2698 | ?? | 4834ms | 1d
http://103.171.255.242:8086 | ?? | 5630ms | 1d
http://103.172.42.143:1111 | ?? | 5959ms | 1d
http://103.172.71.140:8989 | ?? | 5178ms | 1d
http://103.173.138.236:1111 | ?? | 5993ms | 1d
http://103.174.123.5:8089 | ?? | 4614ms | 1d
http://103.178.176.14:8080 | ?? | 7955ms | 1d
http://103.179.252.153:8181 | ?? | 4571ms | 1d
http://103.189.249.145:1111 | ?? | 7012ms | 1d
http://103.237.102.191:11111 | ?? | 1857ms | 1d
http://103.247.15.103:9090 | ?? | 6800ms | 1d
http://109.94.1.23:4050 | ?? | 2486ms | 1d
http://110.76.147.26:1111 | ?? | 4544ms | 1d
http://111.230.27.213:3128 | ?? | 7617ms | 1d
http://113.160.132.26:8080 | ?? | 2457ms | 1d
http://114.236.137.41:21000 | ?? | 3026ms | 1d
http://115.127.181.114:6969 | ?? | 4524ms | 1d
http://116.196.150.180:17981 | ?? | 2015ms | 1d
http://117.236.124.166:3128 | ?? | 4827ms | 1d
http://119.188.131.55:17981 | ?? | 4536ms | 1d
http://122.54.132.131:8080 | ?? | 4575ms | 1d
http://122.246.3.210:17981 | ?? | 4810ms | 1d
http://124.106.83.244:8083 | ?? | 5021ms | 1d
http://124.217.42.13:8082 | ?? | 3550ms | 1d
http://130.17.2.209:3128 | ?? | 913ms | 1d
http://130.110.103.245:3128 | ?? | 1318ms | 1d
http://131.222.251.73:8080 | ?? | 3891ms | 1d
